title,artist,top genre,year,bpm,Energy,dnce,dB,live
Jealous - Remix,Nick Jonas,dance pop,2015,93,71,68,-4,44
Really Don't Care,Demi Lovato,dance pop,2015,121,73,71,-4,19
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110,61,83,-4,29
Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91,89,57,-5,33
Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,49,-4,6
Up,Olly Murs,dance pop,2015,115,85,69,-5,10
Trumpets,Jason Derulo,dance pop,2015,82,70,63,-5,10
Runnin' (Lose It All),Naughty Boy,tropical house,2015,139,85,32,-6,48
Same Old Love,Selena Gomez,dance pop,2015,98,59,67,-4,21
I Want You To Know,Zedd,complextro,2015,130,85,58,-3,14
Lips Are Movin,Meghan Trainor,dance pop,2015,139,83,78,-5,11
I'll Show You,Justin Bieber,canadian pop,2015,192,61,36,-7,18
Here,Alessia Cara,canadian contemporary r&b,2015,120,82,38,-4,8
I Lived,OneRepublic,dance pop,2015,120,85,59,-5,27
Fireball (feat. John Ryan),Pitbull,dance pop,2015,123,94,69,-5,5
Easy Love,Sigala,dance pop,2015,124,94,68,-4,12
The Feeling,Justin Bieber,canadian pop,2015,127,81,53,-6,10
I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,81,62,-5,22
BO$$,Fifth Harmony,dance pop,2015,103,87,81,-5,5
Sugar,Maroon 5,pop,2015,120,79,75,-7,9
Focus,Ariana Grande,dance pop,2015,100,88,67,-6,44
All About That Bass,Meghan Trainor,dance pop,2015,134,88,81,-4,11
On My Mind,Ellie Goulding,dance pop,2015,155,71,70,-7,9
Love Me Like You,Little Mix,dance pop,2015,106,67,79,-4,28
Broken Arrows,Avicii,big room,2015,116,67,63,-7,10
Booty,Jennifer Lopez,dance pop,2015,129,95,71,-4,26
What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,36,77,-11,10
Mark My Words,Justin Bieber,canadian pop,2015,114,26,38,-9,17
Lay It All on Me,Rudimental,dance pop,2015,123,75,67,-7,19
American Oxygen,Rihanna,barbadian pop,2015,78,75,39,-6,33
Bang Bang,Jessie J,australian pop,2015,150,75,71,-4,38
Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122,70,71,-8,7
Alive,Sia,australian dance,2015,100,76,51,-4,11
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,123,82,64,-5,16
Been You,Justin Bieber,canadian pop,2015,113,78,74,-6,32
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123,89,76,-5,62
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80,48,69,-8,6
Heroes (we could be),Alesso,big room,2015,126,75,52,-4,24
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156,60,47,-6,9
Perfect,One Direction,boy band,2015,100,82,65,-5,12
Ghosttown,Madonna,dance pop,2015,79,55,54,-7,12
Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108,87,60,-4,10
Bloodstream,Ed Sheeran,pop,2015,89,59,48,-6,6
Living For Love,Madonna,dance pop,2015,123,79,67,-5,25
Baby Don't Lie,Gwen Stefani,dance pop,2015,100,55,69,-5,10
Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120,82,57,-3,16
Steal My Girl,One Direction,boy band,2015,77,76,47,-6,14
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,127,85,68,-3,6
We Are Here,Alicia Keys,hip pop,2015,93,67,64,-6,8
St Jude,Florence + The Machine,art pop,2015,117,43,26,-11,11
Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,128,78,57,-4,33
Time of Our Lives,Pitbull,dance pop,2015,124,80,72,-6,69
Sparks,Hilary Duff,dance pop,2015,122,88,85,-5,10
Mr. Put It Down,Ricky Martin,dance pop,2015,128,78,80,-6,4
Legendary Lovers,Katy Perry,dance pop,2015,126,84,62,-5,8
Spark The Fire,Gwen Stefani,dance pop,2015,120,80,88,-4,20
Run Run Run,Kelly Clarkson,dance pop,2015,112,37,28,-7,11
Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112,90,72,-4,6
Dangerous,Jennifer Hudson,dance pop,2015,109,53,90,-5,8
L.A.LOVE (la la),Fergie,dance pop,2015,202,39,48,-8,26
The Hills,The Weeknd,canadian contemporary r&b,2016,113,56,58,-7,14
Love Yourself,Justin Bieber,canadian pop,2016,100,38,61,-10,28
Cake By The Ocean,DNCE,dance pop,2016,119,75,77,-5,4
Don't Let Me Down,The Chainsmokers,electropop,2016,160,87,53,-5,14
In the Name of Love,Martin Garrix,big room,2016,134,52,50,-6,45
Into You,Ariana Grande,dance pop,2016,108,73,62,-6,14
This Is What You Came For,Calvin Harris,dance pop,2016,124,93,63,-3,15
Million Reasons,Lady Gaga,dance pop,2016,130,42,67,-8,11
Needed Me,Rihanna,barbadian pop,2016,111,31,67,-8,8
7 Years,Lukas Graham,danish pop,2016,120,47,77,-6,39
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67,-6,19
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,105,59,80,-6,6
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97,74,57,-6,11
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,108,53,63,-7,18
Work,Rihanna,barbadian pop,2016,92,53,73,-6,9
Stitches,Shawn Mendes,canadian pop,2016,150,75,75,-7,5
"Me, Myself & I",G-Eazy,hip hop,2016,112,67,76,-7,16
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,71,66,-7,8
Dangerous Woman,Ariana Grande,dance pop,2016,134,60,66,-5,36
Starving,Hailee Steinfeld,dance pop,2016,100,62,73,-4,11
Shout Out to My Ex,Little Mix,dance pop,2016,126,75,77,-4,11
Electric Love,B�RNS,electropop,2016,120,80,61,-8,26
Confident,Demi Lovato,dance pop,2016,130,75,59,-6,9
Too Good,Drake,canadian hip hop,2016,118,65,79,-8,10
Roses,The Chainsmokers,electropop,2016,100,80,71,-7,31
Cold Water (feat. Justin Bieber & M�),Major Lazer,dance pop,2016,93,80,61,-5,16
Me Too,Meghan Trainor,dance pop,2016,124,69,93,-6,48
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016,108,88,75,-4,23
Ain't Your Mama,Jennifer Lopez,dance pop,2016,120,68,76,-6,7
Close,Nick Jonas,dance pop,2016,124,62,65,-5,14
Toothbrush,DNCE,dance pop,2016,105,79,55,-6,47
All We Know,The Chainsmokers,electropop,2016,90,59,66,-9,12
Final Song,M�,dance pop,2016,105,67,70,-6,8
Company,Justin Bieber,canadian pop,2016,95,80,59,-5,8
Hands To Myself,Selena Gomez,dance pop,2016,111,50,81,-7,34
All I Ask,Adele,british soul,2016,142,28,59,-5,15
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,163,70,63,-6,11
NO,Meghan Trainor,dance pop,2016,92,80,56,-4,74
Kill Em With Kindness,Selena Gomez,dance pop,2016,120,88,76,-5,10
Cool Girl,Tove Lo,dance pop,2016,102,69,67,-7,8
Runnin' (Lose It All),Naughty Boy,tropical house,2016,139,85,32,-6,48
Here,Alessia Cara,canadian contemporary r&b,2016,120,82,38,-4,8
Perfect Illusion,Lady Gaga,dance pop,2016,125,86,61,-5,36
PILLOWTALK,ZAYN,dance pop,2016,125,70,59,-4,9
Out Of The Woods,Taylor Swift,pop,2016,92,84,55,-7,34
Rise,Katy Perry,dance pop,2016,101,64,55,-6,11
Wherever I Go,OneRepublic,dance pop,2016,100,69,55,-6,27
Body Say,Demi Lovato,dance pop,2016,87,74,63,-5,28
Don't Be A Fool,Shawn Mendes,canadian pop,2016,175,34,47,-6,10
LIKE I WOULD,ZAYN,dance pop,2016,113,83,56,-6,26
Cheap Thrills,Sia,australian dance,2016,90,80,59,-5,8
I Got You,Bebe Rexha,dance pop,2016,98,89,61,-5,9
Run Away With Me,Carly Rae Jepsen,canadian pop,2016,119,72,56,-6,5
Cruel (feat. ZAYN),Snakehips,dance pop,2016,110,88,60,-4,16
Send My Love (To Your New Lover),Adele,british soul,2016,164,52,69,-8,17
WTF (Where They From),Missy Elliott,dance pop,2016,120,82,93,-3,6
Desire,Years & Years,dance pop,2016,126,78,71,-5,30
When We Were Young,Adele,british soul,2016,144,59,38,-6,9
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016,114,77,68,-5,16
Wish That You Were Here - From �Miss Peregrine�s Home for Peculiar Children� Original Motion Picture,Florence + The Machine,art pop,2016,94,57,37,-6,13
Hurts,Emeli Sand�,dance pop,2016,106,64,58,-8,15
Change,Christina Aguilera,dance pop,2016,82,54,62,-6,13
Make Me... (feat. G-Eazy),Britney Spears,dance pop,2016,123,70,70,-7,22
Keeping Your Head Up,Birdy,neo mellow,2016,122,78,60,-5,19
True Colors,Zedd,complextro,2016,126,79,57,-3,10
Make Me Like You,Gwen Stefani,dance pop,2016,118,71,74,-5,13
Champagne Problems,Nick Jonas,dance pop,2016,108,78,73,-5,9
Blown,DNCE,dance pop,2016,130,95,63,-5,10
Start,John Legend,neo mellow,2016,110,4,52,-15,9
Pep Rally,Missy Elliott,dance pop,2016,90,75,83,-4,20
Higher,Carly Rae Jepsen,canadian pop,2016,114,87,65,-5,37
Invitation,Britney Spears,dance pop,2016,112,65,37,-7,9
One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,2016,91,69,75,-5,13
Beautiful Birds (feat. Birdy),Passenger,folk-pop,2016,86,17,39,-13,11
Little Lies,Hilary Duff,dance pop,2016,124,76,57,-6,4
Do You Wanna Come Over?,Britney Spears,dance pop,2016,121,70,75,-6,11
BURNITUP!,Janet Jackson,dance pop,2016,123,71,83,-7,31
Picky - Remix,Joey Montana,latin,2016,186,81,70,-3,37
Behind Your Back,Nelly Furtado,canadian latin,2016,98,47,80,-10,7
Million Years Ago,Adele,british soul,2016,0,0,0,-60,0
Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9
Closer,The Chainsmokers,electropop,2017,95,52,75,-6,11
Starboy,The Weeknd,canadian contemporary r&b,2017,186,59,68,-7,14
Treat You Better,Shawn Mendes,canadian pop,2017,83,82,44,-4,11
That's What I Like,Bruno Mars,pop,2017,134,56,85,-5,9
Let Me Love You,DJ Snake,electronic trap,2017,100,72,65,-5,14
I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,93,82,77,-6,7
Mercy,Shawn Mendes,canadian pop,2017,148,66,56,-5,11
Side To Side,Ariana Grande,dance pop,2017,159,74,65,-6,24
Stay,Zedd,complextro,2017,102,62,69,-5,12
It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,53,64,-7,9
Malibu,Miley Cyrus,dance pop,2017,140,78,57,-6,8
Something Just Like This,The Chainsmokers,electropop,2017,103,65,61,-7,17
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017,102,76,72,-4,18
I Don�t Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017,118,45,74,-8,33
My Way,Calvin Harris,dance pop,2017,120,91,82,-3,16
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,81,67,61,-4,17
Praying,Kesha,dance pop,2017,73,39,58,-7,11
Despacito - Remix,Luis Fonsi,latin,2017,178,82,65,-4,10
The Greatest,Sia,australian dance,2017,192,73,67,-6,6
There for You,Martin Garrix,big room,2017,106,64,61,-8,12
Paris,The Chainsmokers,electropop,2017,100,64,65,-7,9
Crying in the Club,Camila Cabello,dance pop,2017,85,62,33,-6,16
Mama,Jonas Blue,dance pop,2017,104,79,74,-4,5
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,80,74,-3,25
Swish Swish,Katy Perry,dance pop,2017,120,71,84,-5,10
Chained To The Rhythm,Katy Perry,dance pop,2017,190,80,45,-5,20
Cold (feat. Future),Maroon 5,pop,2017,100,72,69,-6,5
Love,Lana Del Rey,art pop,2017,99,37,53,-11,11
Reggaet�n Lento (Remix),CNCO,boy band,2017,94,91,53,-3,10
All I Ask,Adele,british soul,2017,142,28,59,-5,15
First Time,Kygo,edm,2017,90,59,63,-7,10
The Cure,Lady Gaga,dance pop,2017,100,51,70,-5,9
"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2017,181,54,31,-10,7
Bodak Yellow,Cardi B,pop,2017,125,72,93,-6,35
Rich Love (with Seeb),OneRepublic,dance pop,2017,105,87,40,-4,36
Tired,Alan Walker,electro house,2017,124,88,69,-4,15
Came Here for Love,Sigala,dance pop,2017,125,87,71,-3,12
24K Magic,Bruno Mars,pop,2017,107,80,82,-4,15
Strip That Down (feat. Quavo),Liam Payne,dance pop,2017,106,50,87,-5,8
Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017,115,91,71,-3,30
OK - Spotify Version,Robin Schulz,dance pop,2017,122,81,65,-6,13
Bon app�tit,Katy Perry,dance pop,2017,106,79,80,-6,22
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017,135,57,76,-9,20
Get Low (with Liam Payne),Zedd,complextro,2017,108,93,72,-4,5
Kissing Strangers,DNCE,dance pop,2017,120,74,77,-6,9
Slow Hands,Niall Horan,dance pop,2017,86,42,74,-7,6
Younger Now,Miley Cyrus,dance pop,2017,122,87,55,-5,14
Body Moves,DNCE,dance pop,2017,102,69,65,-5,4
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017,122,64,73,-7,8
Angel,Fifth Harmony,dance pop,2017,124,53,74,-6,35
Touch (feat. Kid Ink),Little Mix,dance pop,2017,102,75,64,-4,49
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,100,82,70,-5,45
Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017,167,50,37,-9,20
No Vacancy (with Sebasti�n Yatra),OneRepublic,dance pop,2017,100,76,69,-4,14
Rich Boy,Galantis,big room,2017,110,90,74,-2,8
Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,100,67,51,-9,36
Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017,115,83,70,-6,36
Influence,Tove Lo,dance pop,2017,105,59,77,-10,11
Remember I Told You,Nick Jonas,dance pop,2017,113,53,68,-6,4
Messin' Around,Pitbull,dance pop,2017,158,81,57,-5,4
Water Under the Bridge,Adele,british soul,2017,95,84,60,-7,11
Free Me,Sia,australian dance,2017,87,46,27,-4,14
Kissing Strangers - Remix,DNCE,dance pop,2017,120,77,76,-6,8
A L I E N S,Coldplay,permanent wave,2017,148,88,43,-5,21
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13
I Like It,Cardi B,pop,2018,136,73,82,-4,37
New Rules,Dua Lipa,dance pop,2018,116,70,76,-6,15
There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122,81,87,-4,8
no tears left to cry,Ariana Grande,dance pop,2018,122,71,70,-6,29
IDGAF,Dua Lipa,dance pop,2018,97,54,84,-6,8
In My Blood,Shawn Mendes,canadian pop,2018,140,71,62,-7,13
Wolves,Selena Gomez,dance pop,2018,125,80,72,-5,20
Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180,44,26,-7,11
Attention,Charlie Puth,dance pop,2018,100,61,78,-5,13
Electricity (with Dua Lipa),Silk City,edm,2018,118,67,59,-6,34
Love On The Brain,Rihanna,barbadian pop,2018,172,64,51,-5,8
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,103,71,66,-4,8
Silence,Marshmello,brostep,2018,142,76,52,-3,17
Sorry Not Sorry,Demi Lovato,dance pop,2018,144,64,71,-7,26
Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,33,57,-7,9
These Days,Rudimental,dance pop,2018,92,81,65,-4,17
What Lovers Do (feat. SZA),Maroon 5,pop,2018,110,60,80,-5,10
Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2018,105,86,70,-5,2
Perfect Duet (Ed Sheeran & Beyonc�),Ed Sheeran,pop,2018,95,30,59,-7,12
Bad At Love,Halsey,dance pop,2018,118,75,68,-4,9
Him & I (with Halsey),G-Eazy,hip hop,2018,88,73,59,-6,31
Friends (with BloodPop�),Justin Bieber,canadian pop,2018,105,73,74,-5,30
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2018,98,67,67,-3,12
My My My!,Troye Sivan,dance pop,2018,103,46,70,-8,5
Capital Letters,Hailee Steinfeld,dance pop,2018,100,81,66,-6,5
Sick Boy,The Chainsmokers,electropop,2018,90,58,66,-8,12
Tequila,Dan + Shay,contemporary country,2018,86,59,47,-6,13
Look What You Made Me Do,Taylor Swift,pop,2018,128,71,77,-6,13
Youth (feat. Khalid),Shawn Mendes,canadian pop,2018,100,60,53,-7,13
Bad Liar,Selena Gomez,dance pop,2018,121,41,97,-6,8
Anywhere,Rita Ora,dance pop,2018,107,80,63,-4,10
Say Something,Justin Timberlake,dance pop,2018,97,63,71,-7,8
Chun-Li,Nicki Minaj,dance pop,2018,129,73,69,-5,11
Sign of the Times,Harry Styles,dance pop,2018,120,57,52,-5,11
Familiar,Liam Payne,dance pop,2018,93,81,64,-5,8
Let Me,ZAYN,dance pop,2018,168,57,46,-6,10
Supernova,Ansel Elgort,dance pop,2018,140,62,77,-5,21
Nervous,Shawn Mendes,canadian pop,2018,122,62,84,-7,13
First Time,Kygo,edm,2018,90,59,63,-7,10
End Game,Taylor Swift,pop,2018,159,59,65,-6,11
Mi Gente (feat. Beyonc�),J Balvin,latin,2018,105,72,76,-6,23
Lemon,N.E.R.D,hip hop,2018,95,73,92,-7,12
For You (With Rita Ora),Liam Payne,dance pop,2018,113,80,54,-5,42
Want To,Dua Lipa,dance pop,2018,92,69,57,-5,6
What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018,104,79,63,-4,16
Wait,Maroon 5,pop,2018,126,60,66,-5,11
What About Us,P!nk,dance pop,2018,114,59,39,-6,9
Kissing Strangers,DNCE,dance pop,2018,120,74,77,-6,9
2U (feat. Justin Bieber),David Guetta,dance pop,2018,145,61,53,-7,23
Walk On Water (feat. Beyonc�),Eminem,detroit hip hop,2018,82,44,48,-10,64
This Town,Niall Horan,dance pop,2018,112,41,68,-8,12
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,2018,94,69,73,-4,10
MOVE TO MIAMI,Enrique Iglesias,dance pop,2018,100,87,76,-4,7
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,2018,100,64,75,-5,11
Filthy,Justin Timberlake,dance pop,2018,97,58,75,-6,25
Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,130,69,63,-4,12
Ferrari,Bebe Rexha,dance pop,2018,77,48,58,-6,10
Supplies,Justin Timberlake,dance pop,2018,120,55,79,-7,13
Boom Boom,RedOne,moroccan pop,2018,110,76,75,-8,20
...Ready For It? - BloodPop� Remix,Taylor Swift,pop,2018,160,84,58,-5,10
Drip (feat. Migos),Cardi B,pop,2018,130,59,97,-8,8
Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,102,77,58,-5,9
Memories,Maroon 5,pop,2019,91,32,76,-7,8
Lose You To Love Me,Selena Gomez,dance pop,2019,102,34,51,-9,21
Someone You Loved,Lewis Capaldi,pop,2019,110,41,50,-6,11
Se�orita,Shawn Mendes,canadian pop,2019,117,54,76,-6,9
How Do You Sleep?,Sam Smith,pop,2019,111,68,48,-5,8
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,98,62,86,-6,9
Trampoline (with ZAYN),SHAED,electropop,2019,127,46,62,-6,14
Happier,Marshmello,brostep,2019,100,79,69,-3,17
Truth Hurts,Lizzo,escape room,2019,158,62,72,-3,12
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,96,89,67,-3,74
Higher Love,Kygo,edm,2019,104,68,69,-7,10
Only Human,Jonas Brothers,boy band,2019,94,50,80,-6,6
Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93,65,64,-8,8
Sucker,Jonas Brothers,boy band,2019,138,73,84,-5,11
Don't Call Me Up,Mabel,dance pop,2019,99,88,67,-3,8
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102,68,80,-5,9
Talk (feat. Disclosure),Khalid,alternative r&b,2019,136,40,90,-9,6
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,2019,122,89,81,-4,8
Takeaway,The Chainsmokers,electropop,2019,100,51,53,-8,10
All Around The World (La La La),R3HAB,big room,2019,125,86,73,-5,11
Girls Like You (feat. Cardi B),Maroon 5,pop,2019,125,54,85,-7,13
Call You Mine,The Chainsmokers,electropop,2019,104,70,59,-6,34
No Guidance (feat. Drake),Chris Brown,dance pop,2019,93,45,70,-7,16
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,152,82,72,-5,36
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,96,80,84,-4,6
Con Calma - Remix,Daddy Yankee,latin,2019,94,87,74,-3,4
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019,104,66,61,-7,20
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,95,79,75,-6,7
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019,136,76,53,-5,9
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2019,114,79,60,-6,42
Kills You Slowly,The Chainsmokers,electropop,2019,150,44,70,-9,13
